timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,load1
1773106276,k3s-worker-2,8.6294424,3.5532992,0,688.6758,0.47
1773106278,k3s-control,43.0769209,7.1794871,0,1830.887,0.57
1773106278,k3s-worker-2,12.244898,4.591837,7.653061,688.4336,0.43
1773106279,k3s-control,37.7551011,6.6326532,0,1831.539,0.52
1773106279,k3s-worker-2,9.6446705,3.5532992,5.0761422,688.1875,0.43
1773106281,k3s-control,40.5128202,7.692308,0,1826.305,0.52
1773106281,k3s-worker-2,12.820513,5.641026,0.5128205,691.1016,0.43
1773106282,k3s-control,42.2680413,5.6701032,0,1829.176,0.52
1773106282,k3s-worker-2,10.7692305,3.0769229,0,690.8672,0.4
1773106284,k3s-control,42.5641013,6.1538462,0,1830.211,0.52
1773106284,k3s-worker-2,9.6446697,3.5532989,0,690.8672,0.4
